"Date","All"
"2025-07-07T00:00:00",0
"2025-07-14T00:00:00",0
"2025-07-21T00:00:00",0
"2025-07-28T00:00:00",0
"2025-08-04T00:00:00",0
"2025-08-11T00:00:00",0
"2025-08-18T00:00:00",0
"2025-08-25T00:00:00",0
"2025-09-01T00:00:00",0
"2025-09-08T00:00:00",0
"2025-09-15T00:00:00",0
"2025-09-22T00:00:00",0
"2025-09-29T00:00:00",0
"2025-10-06T00:00:00",0
"2025-10-13T00:00:00",0
"2025-10-20T00:00:00",0
"2025-10-27T00:00:00",0
"2025-11-03T00:00:00",0
"2025-11-10T00:00:00",0
"2025-11-17T00:00:00",0
"2025-11-24T00:00:00",0
"2025-12-01T00:00:00",0
"2025-12-08T00:00:00",0
"2025-12-15T00:00:00",0
"2025-12-22T00:00:00",0
"2025-12-29T00:00:00",0
"2026-01-05T00:00:00",0
"2026-01-12T00:00:00",0
"2026-01-19T00:00:00",0
"2026-01-26T00:00:00",0
"2026-02-02T00:00:00",0
"2026-02-09T00:00:00",0
"2026-02-16T00:00:00",0
"2026-02-23T00:00:00",0
"2026-03-02T00:00:00",0
"2026-03-09T00:00:00",6
"2026-03-16T00:00:00",233
"2026-03-23T00:00:00",145
"2026-03-30T00:00:00",102
"2026-04-06T00:00:00",87
"2026-04-13T00:00:00",81
"2026-04-20T00:00:00",55
"2026-04-27T00:00:00",49
"2026-05-04T00:00:00",52
"2026-05-11T00:00:00",38
"2026-05-18T00:00:00",44
"2026-05-25T00:00:00",33
"2026-06-01T00:00:00",34
"2026-06-08T00:00:00",37
"2026-06-15T00:00:00",41
"2026-06-22T00:00:00",19
"2026-06-29T00:00:00",35
"2026-07-06T00:00:00",15
